ComplexID	ComplexName	Organism	Synonyms	Cell line	subunits(UniProt IDs)	subunits(Entrez IDs)	Protein complex purification method	GO ID	GO description	FunCat ID	FunCat description	subunits(Protein name)	subunits(Gene name)	SWISSPROT organism	Subunits comment	Complex comment	subunits(Gene name syn)	Disease comment	PubMed ID
1005	RC complex during G2/M-phase of cell cycle	Human	None	None	P06493;P09874;P09884;P11387;P14635;P15927;P20248;P27694;P28340;P35244;P35250;P35251;Q07864	983;142;5422;7150;891;6118;890;6117;5424;6119;5982;5981;5426	MI:0071- molecular sieving; MI:0029- cosedimentation through density gradients; MI:0006- anti bait coimmunoprecipitation	GO:0006260;GO:0000075;GO:0003677;GO:0005694	DNA replication;cell cycle checkpoint;DNA binding;chromosome	10.01.03;10.03.01.03;16.03.01;70.10.03	DNA synthesis and replication;cell cycle checkpoints (checkpoints of morphogenesis, DNA-damage,-replication, mitotic phase and spindle);DNA binding;chromosome	Cyclin-dependent kinase 1;Poly [ADP-ribose] polymerase 1;DNA polymerase alpha catalytic subunit;DNA topoisomerase 1;G2/mitotic-specific cyclin-B1;Replication protein A 32 kDa subunit;Cyclin-A2 ;Replication protein A 70 kDa DNA-binding subunit;DNA polymerase delta catalytic subunit;Replication protein A 14 kDa subunit;Replication factor C subunit 2;Replication factor C subunit 1;DNA polymerase epsilon catalytic subunit A	CDK1;PARP1;POLA1;TOP1;CCNB1;RPA2;CCNA2;RPA1;POLD1;RPA3;RFC2;RFC1;POLE	Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human)	None	CDK1 and cyclin B1 associate with RC complex only during G2/M-phase of cell cycle. DNA ligase I is not found in the RC complex during G2/M-phase.	CDC2, CDC28A, CDKN1, P34CDC2;ADPRT PPOL;POLA;None;CCNB;REPA2 RPA32 RPA34;CCN1 CCNA;REPA1 RPA70;POLD;REPA3 RPA14;None;RFC140;POLE1	None	12006500
1006	Caveolin complex	Rat	None	lung	P20070;P41350;P60711;P63259;Q2IBC5;Q9Z2S9	25035;25404;81822;287876;363425;83764	MI:0019-coimmunoprecipitation;MI:0029-cosedimentation through density gradients	GO:0050982;GO:0009612;GO:0008015;GO:0005886	detection of mechanical stimulus;response to mechanical stimulus;blood circulation;plasma membrane	34.11.05;34.11.13.07;70.02	mechanical stimulus perception and response;circulation (e.g. blood pressure);eukaryotic plasma membrane / membrane attached	NADH-cytochrome b5 reductase 3;Caveolin-1;Actin, cytoplasmic 1;Actin, cytoplasmic 2;Caveolin-2;Flotillin-2	Cyb5r3;Cav1;Actb;Actg1;Cav2;Flot2	Rattus norvegicus (Rat);Rattus norvegicus (Rat);Rattus norvegicus (Rat);Rattus norvegicus (Rat);Rattus norvegicus (Rat);Rattus norvegicus (Rat)	None	None	Dia1;Cav;None;Actg;None;Reg1	None	15293782
1007	CAK core complex (Cdk-activating kinase core complex)	Human	None	None	P50613;P51946	1022;902	MI:0004-affinity chromatography technologies	GO:0007049;GO:0009299;GO:0006464;GO:0051090;GO:0005634;GO:0070816	cell cycle;mRNA transcription;cellular protein modification process;regulation of sequence-specific DNA binding transcription factor activity;nucleus;phosphorylation of RNA polymerase II C-terminal domain	10.03;11.02.03;14.07;18.02.09;70.10	cell cycle;mRNA synthesis;protein modification;regulator of transcription factor;nucleus	Cyclin-dependent kinase 7;Cyclin-H	CDK7;CCNH	Homo sapiens (Human);Homo sapiens (Human)	None	CAK complex phosphorylates the carboxy-terminal domain of the largest subunit of RNA polymerase II.	CAK, CAK1, CDKN7, MO15, STK1;None	None	7533895
1008	CAK complex (Cdk-activating kinase complex)	Human	None	None	P50613;P51946;P51948	1022;902;4331	MI:0019-coimmunoprecipitation	GO:0007049;GO:0019209;GO:0051090;GO:0005634	cell cycle;kinase activator activity;regulation of sequence-specific DNA binding transcription factor activity;nucleus	10.03;18.02.01.01.05;18.02.09;70.10	cell cycle;kinase activator;regulator of transcription factor;nucleus	Cyclin-dependent kinase 7;Cyclin-H;CDK-activating kinase assembly factor MAT1	CDK7;CCNH;MNAT1	Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human)	None	MAT1 is required for stabilization and assembly of the active CAK complex.	CAK, CAK1, CDKN7, MO15, STK1;None;CAP35, MAT1, RNF66	None	8521818
1009	TFIIH transcription factor complex	Human	None	None	P18074;P19447;P32780;P50613;P51946;P51948;Q13888;Q13889;Q6ZYL4;Q92759	2068;2071;2965;1022;902;4331;2966;2967;404672;2968	MI:0006-anti bait coimmunoprecipitation	GO:0006281;GO:0007049;GO:2001141;GO:0006355;GO:0006464;GO:0050790;GO:0005634	DNA repair;cell cycle;regulation of RNA biosynthetic process;regulation of transcription, DNA-templated;cellular protein modification process;regulation of catalytic activity;nucleus	10.01.05.01;10.03;11.02.03.04;14.07;18.02.01;70.10	DNA repair;cell cycle;transcriptional control;protein modification;enzymatic activity regulation / enzyme regulator;nucleus	TFIIH basal transcription factor complex helicase XPD subunit;TFIIH basal transcription factor complex helicase XPB subunit;General transcription factor IIH subunit 1;Cyclin-dependent kinase 7;Cyclin-H;CDK-activating kinase assembly factor MAT1;General transcription factor IIH subunit 2;General transcription factor IIH subunit 3;General transcription factor IIH subunit 5;General transcription factor IIH subunit 4	ERCC2;ERCC3;GTF2H1;CDK7;CCNH;MNAT1;GTF2H2;GTF2H3;GTF2H5;GTF2H4	Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human)	None	Transcription factor IIH (TFIIH) is a multisubunit complex required for transcription and for DNA nucleotide excision repair.The GTF2H5 gene product has a role in regulating the level of TFIIH.	XPD, XPDC;XPB, XPBC;BTF2;CAK, CAK1, CDKN7, MO15, STK1;None;CAP35, MAT1, RNF66;BTF2P44;None;C6orf175 TTDA;None	None	15220921
1010	CAK complex (Cdk-activating kinase complex)	Human	None	None	P50613;P51946;P51948	1022;902;4331	MI:0091-chromatography technologies;MI:0071-molecular sieving	GO:0007049;GO:0019209;GO:0051090;GO:0005634;GO:0070816	cell cycle;kinase activator activity;regulation of sequence-specific DNA binding transcription factor activity;nucleus;phosphorylation of RNA polymerase II C-terminal domain	10.03;18.02.01.01.05;18.02.09;70.10	cell cycle;kinase activator;regulator of transcription factor;nucleus	Cyclin-dependent kinase 7;Cyclin-H;CDK-activating kinase assembly factor MAT1	CDK7;CCNH;MNAT1	Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human)	None	MAT1 is required for stabilization and assembly of the active CAK complex.	CAK, CAK1, CDKN7, MO15, STK1;None;CAP35, MAT1, RNF66	None	8692842
1011	SNARE complex (Stx1a,1b,7,13, Rtn1, Vamp2)	Rat	None	brain	G3V7P1;O70257;P32851;P61265;P63045;Q64548	65033;60466;116470;24923;24803;116644	MI:0019- coimmunoprecipitation;MI:0047- far western blotting	GO:0006906;GO:0048489;GO:0016079	vesicle fusion;synaptic vesicle transport;synaptic vesicle exocytosis	20.09.07.27;20.09.16.09.05	vesicle fusion;synaptic vesicle exocytosis	Syntaxin-12;Syntaxin-7;Syntaxin-1A;Syntaxin-1B;Vesicle-associated membrane protein 2;Reticulon-1	Stx12;Stx7;Stx1a;Stx1b;Vamp2;Rtn1	Rattus norvegicus (Rat);Rattus norvegicus (Rat);Rattus norvegicus (Rat);Rattus norvegicus (Rat);Rattus norvegicus (Rat);Rattus norvegicus (Rat)	None	SNARE (N-ethylmaleimide-sensitive factor attachment protein receptor) complexes are responsible for membrane fusion in the secretory pathway.RTN1-C does apparently not bind to formed SNARE complexes, it might interfere with their formation.	Stx13;None;Sap;Stx1b2;Syb2;Nsp	None	15086514
1012	SNARE complex (Stx1a, Snap25, Vamp2)	Rat	None	None	P32851;P60881;P63045	116470;25012;24803	MI:0114-x-ray crystallography	GO:0006906;GO:0048489;GO:0016079	vesicle fusion;synaptic vesicle transport;synaptic vesicle exocytosis	20.09.07.27;20.09.16.09.05	vesicle fusion;synaptic vesicle exocytosis	Syntaxin-1A;Synaptosomal-associated protein 25;Vesicle-associated membrane protein 2	Stx1a;Snap25;Vamp2	Rattus norvegicus (Rat);Rattus norvegicus (Rat);Rattus norvegicus (Rat)	None	SNARE (N-ethylmaleimide-sensitive factor attachment protein receptor) complexes are responsible for membrane fusion in the secretory pathway.	Sap;Snap;Syb2	None	9759724
1013	SNARE complex (Stx1a, Snap25, Vamp2)	Rat	None	None	P32851;P60881;P63045	116470;25012;24803	MI:0114-x-ray crystallography	GO:0006906;GO:0048489;GO:0016079	vesicle fusion;synaptic vesicle transport;synaptic vesicle exocytosis	20.09.07.27;20.09.16.09.05	vesicle fusion;synaptic vesicle exocytosis	Syntaxin-1A;Synaptosomal-associated protein 25;Vesicle-associated membrane protein 2	Stx1a;Snap25;Vamp2	Rattus norvegicus (Rat);Rattus norvegicus (Rat);Rattus norvegicus (Rat)	None	SNARE (N-ethylmaleimide-sensitive factor attachment protein receptor) complexes are responsible for membrane fusion in the secretory pathway.	Sap;Snap;Syb2	None	11533035
1014	Pcdhga1-Pcdha4 complex	Mouse	None	brain	O88689;Q91XZ0	None;93709	MI:0019- coimmunoprecipitation	GO:0006886;GO:0006605;GO:0015031;GO:0008104;GO:0007155	intracellular protein transport;protein targeting;protein transport;protein localization;cell adhesion	14.04;20.01.10;18.01.03;34.07	protein targeting, sorting and translocation;protein transport;regulation by localization;cell adhesion	Protocadherin alpha-4 ;MCG133388, isoform CRA_t	Pcdha4;Pcdhga1	Mus musculus (Mouse);Mus musculus (Mouse)	None	The interactions between CNR/Pcdhalpha and Pcdhgamma regulate their surface expression and contribute to the combinatorial diversity of cell recognition proteins in the brain.	Cnr1;	None	15347688
1015	Pcdhga1-Pcdhgb2 complex	Mouse	None	brain	O88689;Q91XX7	None;93700	MI:0019- coimmunoprecipitation	GO:0006886;GO:0006605;GO:0015031;GO:0008104;GO:0007155	intracellular protein transport;protein targeting;protein transport;protein localization;cell adhesion	14.04;20.01.10;18.01.03;34.07	protein targeting, sorting and translocation;protein transport;regulation by localization;cell adhesion	Protocadherin alpha-4 ;Protein Pcdhgb2	Pcdha4;Pcdhgb2	Mus musculus (Mouse);Mus musculus (Mouse)	None	The interactions between CNR/Pcdhalpha and Pcdhgamma regulate their surface expression and contribute to the combinatorial diversity of cell recognition proteins in the brain.	Cnr1;	None	15347688
1016	Pcdhga1-Pcdhga3 complex	Mouse	None	brain	O88689;Q91XY5	None;93711	MI:0019- coimmunoprecipitation	GO:0006886;GO:0006605;GO:0015031;GO:0008104;GO:0007155	intracellular protein transport;protein targeting;protein transport;protein localization;cell adhesion	14.04;20.01.10;18.01.03;34.07	protein targeting, sorting and translocation;protein transport;regulation by localization;cell adhesion	Protocadherin alpha-4 ;Protein Pcdhga3	Pcdha4;Pcdhga3	Mus musculus (Mouse);Mus musculus (Mouse)	None	The interactions between CNR/Pcdhalpha and Pcdhgamma regulate their surface expression and contribute to the combinatorial diversity of cell recognition proteins in the brain.	Cnr1;	None	15347688
1017	Pcdhga1-Pcdhgb4 complex	Mouse	None	brain	O88689;Q91XX6	None;93701	MI:0019- coimmunoprecipitation	GO:0006886;GO:0006605;GO:0015031;GO:0008104;GO:0007155	intracellular protein transport;protein targeting;protein transport;protein localization;cell adhesion	14.04;20.01.10;18.01.03;34.07	protein targeting, sorting and translocation;protein transport;regulation by localization;cell adhesion	Protocadherin alpha-4 ;Protein Pcdhgb4	Pcdha4;Pcdhgb4	Mus musculus (Mouse);Mus musculus (Mouse)	None	The interactions between CNR/Pcdhalpha and Pcdhgamma regulate their surface expression and contribute to the combinatorial diversity of cell recognition proteins in the brain.	Cnr1;	None	15347688
1018	Pcdha7-Pcdhgb4 complex	Mouse	None	brain	Q91XX6;Q91Y13	93701;12939	MI:0019- coimmunoprecipitation	GO:0006886;GO:0006605;GO:0015031;GO:0008104;GO:0007155	intracellular protein transport;protein targeting;protein transport;protein localization;cell adhesion	14.04;20.01.10;18.01.03;34.07	protein targeting, sorting and translocation;protein transport;regulation by localization;cell adhesion	Protein Pcdhgb4 ;Protocadherin alpha-7	Pcdhgb4;Pcdha7	Mus musculus (Mouse);Mus musculus (Mouse)	None	The interactions between CNR/Pcdhalpha and Pcdhgamma regulate their surface expression and contribute to the combinatorial diversity of cell recognition proteins in the brain.	;	None	15347688
1019	Pcdha7-Pcdhga3 complex	Mouse	None	brain	Q91XY5;Q91Y13	93711;12939	MI:0019- coimmunoprecipitation	GO:0006886;GO:0006605;GO:0015031;GO:0008104;GO:0007155	intracellular protein transport;protein targeting;protein transport;protein localization;cell adhesion	14.04;20.01.10;18.01.03;34.07	protein targeting, sorting and translocation;protein transport;regulation by localization;cell adhesion	Protein Pcdhga3 ;Protocadherin alpha-7	Pcdhga3;Pcdha7	Mus musculus (Mouse);Mus musculus (Mouse)	None	The interactions between CNR/Pcdhalpha and Pcdhgamma regulate their surface expression and contribute to the combinatorial diversity of cell recognition proteins in the brain.	;	None	15347688
1020	Pcdha7-Pcdhgb2 complex	Mouse	None	brain	Q91XX7;Q91Y13	93700;12939	MI:0019- coimmunoprecipitation	GO:0006886;GO:0006605;GO:0015031;GO:0008104;GO:0007155	intracellular protein transport;protein targeting;protein transport;protein localization;cell adhesion	14.04;20.01.10;18.01.03;34.07	protein targeting, sorting and translocation;protein transport;regulation by localization;cell adhesion	Protein Pcdhgb2 ;Protocadherin alpha-7	Pcdhgb2;Pcdha7	Mus musculus (Mouse);Mus musculus (Mouse)	None	The interactions between CNR/Pcdhalpha and Pcdhgamma regulate their surface expression and contribute to the combinatorial diversity of cell recognition proteins in the brain.	;	None	15347688
1021	Pcdha7-Pcdhga1 complex	Mouse	None	brain	Q91XZ0;Q91Y13	93709;12939	MI:0019- coimmunoprecipitation	GO:0006886;GO:0006605;GO:0015031;GO:0008104;GO:0007155	intracellular protein transport;protein targeting;protein transport;protein localization;cell adhesion	14.04;20.01.10;18.01.03;34.07	protein targeting, sorting and translocation;protein transport;regulation by localization;cell adhesion	MCG133388, isoform CRA_t ;Protocadherin alpha-7	Pcdhga1;Pcdha7	Mus musculus (Mouse);Mus musculus (Mouse)	None	The interactions between CNR/Pcdhalpha and Pcdhgamma regulate their surface expression and contribute to the combinatorial diversity of cell recognition proteins in the brain.	;	None	15347688
1022	Fgr-Pyk2-p190RhoGap complex	Mouse	None	None	P14234;Q91YM2;Q9QVP9	14191;232906;19229	MI:0019- coimmunoprecipitation	GO:0016477	cell migration	34.05.01	cell migration	Tyrosine-protein kinase Fgr ;Rho GTPase-activating protein 35 ;Protein-tyrosine kinase 2-beta	Fgr;Arhgap35;Ptk2b	Mus musculus (Mouse);Mus musculus (Mouse);Mus musculus (Mouse)	None	None	;Grlf1 Kiaa1722 P190A p190ARHOGAP;Fak2, Pyk2, Raftk	None	15561106
1023	Par3-Prkcz-Tiam1 complex	Mouse	Tiam1-Par-3-aPKC-zeta complex	None	Q02956;Q60610;Q99NH2	18762;21844;93742	MI:0019-coimmunoprecipitation	GO:0007264;GO:0051211;GO:0009798;GO:0007043;GO:0030054	small GTPase mediated signal transduction;anisotropic cell growth;axis specification;cell-cell junction assembly;cell junction	30.01.05.05.01;40.01.03;41.05.19;42.06.04;70.06	small GTPase mediated signal transduction;directional cell growth (morphogenesis);asymmetries and axis determination;intercellular junction (gap junction/adherens junction);cell junction	Protein kinase C zeta type;T-lymphoma invasion and metastasis-inducing protein 1;Partitioning defective 3 homolog	Prkcz;Tiam1;Pard3	Mus musculus (Mouse);Mus musculus (Mouse);Mus musculus (Mouse)	None	Tiam1 interacts with Par3 and aPKCzeta, which are two components of the conserved Par3-Par6-aPKC polarity complex, and triggers biogenesis of the TJ through the activation of Rac and aPKCzeta, which is independent of Cdc42.	Pkcz;Tiam-1;Par3	None	16186252
1024	Baiap2-Tiam1 complex	Rat	Tiam1-IRSp53 complex	None	D3ZWV8;Q6GMN2	None;117542	MI:0019-coimmunoprecipitation	GO:0006886;GO:0006605;GO:0015031;GO:0007264;GO:0030036;GO:0015629	intracellular protein transport;protein targeting;protein transport;small GTPase mediated signal transduction;actin cytoskeleton organization;actin cytoskeleton	14.04;20.01.10;30.01.05.05.01;42.04.03;70.04.03	protein targeting, sorting and translocation;protein transport;small GTPase mediated signal transduction;actin cytoskeleton;actin cytoskeleton	T-cell lymphoma invasion and metastasis 1;Brain-specific angiogenesis inhibitor 1-associated protein 2	Tiam1;Baiap2	Rattus norvegicus (Rat);Rattus norvegicus (Rat)	None	Further experiments done in 293T cells and in NIH-3T3 cells. Stimulation of Tiam1 interaction with IRSp53, either through forced Tiam1 overexpression or Ras activation by growth factor, enhances IRSp53 interaction with WAVE2 and Rac and leads to its redistribution, recruiting IRSp53 effects toward a Rac phenotype (ruffles).	None;None	None	15899863
1025	Calreticulin-Tnfr1-Tradd complex	Rabbit	None	None	G1SYP2;G1TNY9;P15253	100346106;100337888;100009050	MI:0019-coimmunoprecipitation	GO:0043067	regulation of programmed cell death	40.10.02.04	regulation of apoptosis	TNF receptor superfamily member 1A;TNFRSF1A associated via death domain;Calreticulin	TNFRSF1A;TRADD;CALR	Oryctolagus cuniculus (Rabbit);Oryctolagus cuniculus (Rabbit);Oryctolagus cuniculus (Rabbit)	None	None	None;None;None	None	15284227
1026	Ppp1r9b-Tiam1 complex	Rat	Tiam1-spinophilin complex	None	D3ZWV8;O35274	None;84686	MI:0018-two hybrid;MI:0019-coimmunoprecipitation	GO:0006461;GO:0019209;GO:0007264;GO:0005886	protein complex assembly;kinase activator activity;small GTPase mediated signal transduction;plasma membrane	14.10;18.02.01.01.05;30.01.05.05.01;70.02	assembly of protein complexes;kinase activator;small GTPase mediated signal transduction;eukaryotic plasma membrane / membrane attached	T-cell lymphoma invasion and metastasis 1;Neurabin-2	Tiam1;Ppp1r9b	Rattus norvegicus (Rat);Rattus norvegicus (Rat)	None	Spinophilin binding promotes the plasma membrane localization of Tiam1 and enhances the ability of Tiam1 to activate p70 S6 kinase.	None;None	None	12531897
1027	SNARE complex (Stx4, Vamp7, Snap23, Syt7)	Rat	None	None	O70377;Q08850;Q62747;Q9JHW5	64630;81803;59267;85491	MI:0019- coimmunoprecipitation; MI:0047- far western blotting	GO:0006906;GO:0048489;GO:0016079	vesicle fusion;synaptic vesicle transport;synaptic vesicle exocytosis	20.09.07.27;20.09.16.09.05	vesicle fusion;synaptic vesicle exocytosis	Synaptosomal-associated protein 23 ;Syntaxin-4;Synaptotagmin-7 ;Vesicle-associated membrane protein 7	Snap23;Stx4;Syt7;Vamp7	Rattus norvegicus (Rat);Rattus norvegicus (Rat);Rattus norvegicus (Rat);Rattus norvegicus (Rat)	None	SNARE (N-ethylmaleimide-sensitive factor attachment protein receptor) complexes are responsible for membrane fusion in the secretory pathway.	;Stx4a;;Sybl1	None	14993220
1028	HNF4A-SUB1 complex	Human	None	None	P41235;P53999	3172;10923	MI:0024- confirmational text mining	GO:0045893	positive regulation of transcription, DNA-templated	11.02.03.04.01	transcription activation	Hepatocyte nuclear factor 4-alpha ;Activated RNA polymerase II transcriptional coactivator p15	HNF4A;SUB1	Homo sapiens (Human);Homo sapiens (Human)	None	The hepatocellular inflammatory-redox (IR) state enhances PC4-HNF4 binding to upregulate transcription of target hepatocyte genes, such as iNOS.	HNF4 NR2A1 TCF14;PC4 RPO2TC1	None	17317687
1029	TFIIH transcription factor complex	Human	None	None	P18074;P19447;P32780;P50613;P51946;P51948;Q13888;Q13889;Q6ZYL4;Q92759	2068;2071;2965;1022;902;4331;2966;2967;404672;2968	MI:0091-chromatography technologies;MI:0071-molecular sieving	GO:0006281;GO:0007049;GO:0006355;GO:0005634;GO:2001141;GO:0016301;GO:0016887;GO:0070816;GO:0003678	DNA repair;cell cycle;regulation of transcription, DNA-templated;nucleus;regulation of RNA biosynthetic process;kinase activity;ATPase activity;phosphorylation of RNA polymerase II C-terminal domain;DNA helicase activity	10.01.05.01;10.03;11.02.03.04;70.10	DNA repair;cell cycle;transcriptional control;nucleus	TFIIH basal transcription factor complex helicase XPD subunit;TFIIH basal transcription factor complex helicase XPB subunit;General transcription factor IIH subunit 1;Cyclin-dependent kinase 7;Cyclin-H;CDK-activating kinase assembly factor MAT1;General transcription factor IIH subunit 2;General transcription factor IIH subunit 3;General transcription factor IIH subunit 5;General transcription factor IIH subunit 4	ERCC2;ERCC3;GTF2H1;CDK7;CCNH;MNAT1;GTF2H2;GTF2H3;GTF2H5;GTF2H4	Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human)	None	Transcription factor IIH (TFIIH) is a multisubunit complex required for transcription and for DNA nucleotide excision repair.	XPD, XPDC;XPB, XPBC;BTF2;CAK, CAK1, CDKN7, MO15, STK1;None;CAP35, MAT1, RNF66;BTF2P44;None;C6orf175 TTDA;None	None	8692842
